CNPJ;Razao Social;Endereco;Telefone;Regime
48.825.031/0001;MORALES GASTRONOMIA LTDA RUA NAZIR MAFRA SAPORSKI, 750 , BAIRRO VILA;;"(41) 98819-4766 
(0000) 0000-0000
andreimorales1980";SIMPLES NACIONAL
48.889.924/0001;FENIX DISTRIBUIDORA DE PESCADOS LTDA Fantasia: AFC PESCADOS;AVENIDA RUI BARBOSA, 808 , BAIRRO PI�ARRAS;"(41) 99676-0491 
(0000) 0000-0000";SIMPLES NACIONAL
48.936.834/0001;GERSON CEZAR BASSANI SERVICOS MEDICOS LTDA;;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
48.939.020/0001;EMPORIO SLUZALA LTDA Fantasia: CONVENIENCIA PICARRAS;AVENIDA TIRADENTES, 08 , BAIRRO MIRIM;"(41) 99776-9236 
(0000) 0000-0000";SIMPLES NACIONAL
48.943.139/0001;CLIMATIZACAO MARIM LTDA RUA VIEIRA DOS SANTOS, 282 LOTE 0006A;;"(41) 99770-1936 
(0000) 0000-0000";SIMPLES NACIONAL
48.953.620/0001;CACHOEIRA LANCHES GUARATUBA LTDA RUA DOUTOR CARLOS CAVALCANTI, 225 , BAIRRO;;"(41) 99673-9178 
(0000) 0000-0000";SIMPLES NACIONAL
48.958.489/0001;JEAN CARLO S. ZANATA LTDA Fantasia: ZANATA PRESTADORA DE SERVICOS;AVENIDA DAMI�O BOTELHO DE SOUZA, 1996 ,;"(41) 99864-0855 
(0000) 0000-0000
73917";SIMPLES NACIONAL
49.031.864/0001;TINO ROSSONI & NICOLE TAVARES COMERCIO DO VESTUARIO LTDA;;"(41) 99682-0321 
(0000) 0000-0000";SIMPLES NACIONAL
49.051.499/0001;SUELLEN FERNANDES DOS SANTOS LTDA Fantasia: PERSIANAS FERNANDES;AVENIDA SAO LUIS, 2424 SALA COMERCIAL, BAIRRO;(41) 98783-0729;SIMPLES NACIONAL
49.133.310/0001;ANDREI GERONIMO CAMPAGNAR SERVICOS MEDICOS LTDA;AVENIDA 29 DE ABRIL, 699 LOTE 014 QUADRA081;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
49.162.170/0001;FSS SERVICOS MEDICOS LTDA Fantasia: FSS SERVICOS MEDICOS;AVENIDA CURITIBA, 444 APT 17, BAIRRO CENTRO;"(41) 98883-4168 
(0000) 0000-0000";SIMPLES NACIONAL
49.176.392/0001;R & D NEGOCIOS DIGITAIS LTDA Fantasia: SOUZA E SILVA;AVENIDA MAFRA, 453 , BAIRRO PICARRAS;"(81) 98937-8007 
danilotgomes0";PRESUMIDO OU LUCRO REAL
49.194.146/0001;ANA CAROLINA DOS SANTOS SANTANA SERVICOS MEDICOS LTDA;;"(18) 99645-4422 
(0000) 0000-0000";SIMPLES NACIONAL
49.209.103/0001;MGH DISTRIBUIDORA DE MERCADORIA LTDA Fantasia: MGH DISTRIBUIDORA;;"(41) 3534-0586
(0000) 0000-0000";PRESUMIDO OU LUCRO REAL
49.239.994/0001;BONORUM CONSULTORIA EM TECNOLOGIA LTDA;;"(41) 99995-4373 
(0000) 0000-0000
carloscontin7";PRESUMIDO OU LUCRO REAL
49.242.781/0001;VANDERLEI ALVES DE OLIVEIRA LTDA Fantasia: VANDERLEI ALVES DE OLIVEIRA;;(41) 99824-4622;SIMPLES NACIONAL
49.264.209/0001;LEITE E VIEIRA LTDA Fantasia: COSTELAO DO GAUCHO;;"(41) 98857-7649 
(0000) 0000-0000";SIMPLES NACIONAL
49.288.120/0001;PAULO RICARDO DE SA GIMENES LTDA Fantasia: PIPAS E SORVETES;AVENIDA MINAS GERAIS, 199 , BAIRRO COROADOS;"(41) 99909-1330 
(0000) 0000-0000
p.gimenes1000";SIMPLES NACIONAL
49.305.011/0001;ESQUADRIAS ALMEIDA LTDA Fantasia: ESQUADRIAS ALMEIDA;AVENIDA SETE DE SETEMBRO, 175 SALA A, BAIRRO;"(41) 99827-6439 
mateusalmeidamiranda57";SIMPLES NACIONAL
49.308.294/0001;W T REPRESENTACAO LTDA Fantasia: W T REPRESENTACAO LTDA;;"(41) 99813-3386 
(0000) 0000-0000
wtenergiasolar37";SIMPLES NACIONAL
49.341.893/0001;STOLF SOLUCOES AMBIENTAIS E AGRICOLAS LTDA;;"(47) 99133-3397 
(0000) 0000-0000";SIMPLES NACIONAL
49.410.131/0001;CRIV APOIO ADMINISTRATIVO LTDA AVENIDA VINTE E NOVE DE ABRIL, 288 SALA 02,;AVENIDA VINTE E NOVE DE ABRIL, 288 SALA 02,;(41) 99912-3344;PRESUMIDO OU LUCRO REAL
49.435.554/0001;MAGNIFICA MOVEIS PLANEJADOS LTDA Fantasia: MAGNIFICA MOVEIS PLANEJADOS;;"(41) 99820-2104 
(0000) 0000-0000
diegoborgesribeiro4";SIMPLES NACIONAL
49.481.552/0001;VITORIA 10 PRESENTES LTDA Fantasia: VITORIA 10 PRESENTES;AVENIDA 29 DE ABRIL, SN LOTE 0001 QUADRA0052,;"(41) 99510-7921 
(0000) 0000-0000
vitoria10";SIMPLES NACIONAL
49.484.594/0001;IVC NEGOCIOS IMOBILIARIOS LTDA Fantasia: IMOBILIARIA VILA CAICARA;;"(41) 99241-3915 
(0000) 0000-0000";SIMPLES NACIONAL
49.484.962/0001;LOFIEGO LTDA Fantasia: ITAFARMA;AVENIDA RUI BARBOSA, 2060 , BAIRRO PI�ARRAS;"(41) 99954-6576 
(0000) 0000-0000
emillynlofiego_1";SIMPLES NACIONAL
49.526.881/0001;WIPPEL ENGENHARIA LTDA Fantasia: WIPPEL ENGENHARIA;;"(41) 99861-0839 
(0000) 0000-0000";SIMPLES NACIONAL
49.571.087/0001;MERCADO BREJATUBA LTDA RUA CAETANO MUNHOZ DA ROCHA, 15 , BAIRRO;;(14) 99732-5626;SIMPLES NACIONAL
49.598.661/0001;STUDIO A2 ARQUITETURA E CIA LTDA Fantasia: STUDIO A2 ARQUITETURA;;"(41) 99999-8121 
arquiteturastudioa2";SIMPLES NACIONAL
49.666.864/0001;O GORDO HAMBURGUERIA GUARATUBA LTDA AVENIDA 29 DE ABRIL, 312 , BAIRRO CENTRO;AVENIDA 29 DE ABRIL, 312 , BAIRRO CENTRO;"(41) 99966-8454 
(0000) 0000-0000";SIMPLES NACIONAL
49.678.291/0001;EMBALAGENS SIMM GUARATUBA LTDA Fantasia: EMBALAGENS SIMM;;(41) 99615-1165;SIMPLES NACIONAL
49.705.713/0001;PSICOLOGA NICOLY RODRIGUES LTDA Fantasia: PSICOLOGA NICOLY RODRIGUES;AVENIDA PONTA GROSSA, 231 ANDAR CIMA, BAIRRO;"(41) 99765-0119 
(0000) 0000-0000";SIMPLES NACIONAL
49.732.344/0001;BANANAS JR LTDA Fantasia: BANANAS JR;;"(47) 3445-3152
(0000) 0000-0000";SIMPLES NACIONAL
49.758.357/0001;GODOY SERVICOS ADMINISTRATIVOS LTDA AVENIDA 29 DE ABRIL, 207 LOJA 01 LOTE 00004;AVENIDA 29 DE ABRIL, 207 LOJA 01 LOTE 00004;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
49.784.464/0001;49.784.464 DAGOBERTO DA SILVA 10A AVENIDA AV. PICARRAS, 910 CASA, BAIRRO;AVENIDA AV. PICARRAS, 910 CASA, BAIRRO;"(41) 99768-0677 
dagobertosilva21";SIMPLES NACIONAL
49.804.276/0001;A3 MEDIA LTDA Fantasia: A3 MEDIA;AVENIDA MAFRA, 453 QUADRA211 LOTE 016 SETOR;"(11) 99471-7185 
a3";PRESUMIDO OU LUCRO REAL
49.839.029/0001;DM LIMA FISIOTERAPIA LTDA Fantasia: DM LIMA FISIOTERAPIA;;"(41) 3077-8370
(0000) 0000-0000";SIMPLES NACIONAL
49.875.722/0001;CRIS BARCELO PSICOTERAPIA LTDA AVENIDA PONTA GROSSA, 809 SALA 05, BAIRRO;AVENIDA PONTA GROSSA, 809 SALA 05, BAIRRO;"(41) 0000-0000
(0000) 0000-0000";SIMPLES NACIONAL
49.892.954/0001;MOVIMARTT MOVEIS LTDA Fantasia: MOVIMART MOVEIS E DECORACOES;AVENIDA PARANA, 2008 LOJA A, BAIRRO COHAPAR;"(41) 99601-3671 
(0000) 0000-0000";SIMPLES NACIONAL
49.894.739/0001;BRYAN VEICULOS LTDA Fantasia: BRYAN VEICULOS;;"(42) 99849-0062 
(0000) 0000-0000
gi067285";PRESUMIDO OU LUCRO REAL
49.944.487/0001;MARGARETE VERONESI COMERCIO DE VARIEDADES LTDA;;"(49) 98867-8235 
(0000) 0000-0000
verona1430";SIMPLES NACIONAL
49.944.487/0002;MARGARETE VERONESI COMERCIO DE VARIEDADES LTDA;AVENIDA 29 DE ABRIL, 112 LOJA 05, BAIRRO;(41) 3427-4748;SIMPLES NACIONAL
49.964.906/0001;FATUM PARTICIPACOES LTDA RUA ESPIRITO SANTO, 188 APT 403 SALA 02,;;"(41) 99995-4373 
(0000) 0000-0000
carloscontin7";PRESUMIDO OU LUCRO REAL
50.011.464/0001;FLORO MARES DO SUL LTDA Fantasia: MARES DO SUL;AVENIDA CUBATAO, 1415 , BAIRRO PI�ARRAS;"(41) 99533-5026 
(0000) 0000-0000";SIMPLES NACIONAL
50.032.742/0001;MARGARETE DIAS RESNER KIST LTDA Fantasia: TOK DE LIMPEZA;;(41) 99657-9328;SIMPLES NACIONAL
50.058.519/0001;ELITE CANINA LEPRE LTDA Fantasia: ELITE CANINA II;;"(41) 3442-2637
(0000) 0000-0000";SIMPLES NACIONAL
50.073.747/0001;A M GAVA LTDA RUA TIBAGI, 579 , BAIRRO COHAPAR;;"(41) 99788-3979 
(0000) 0000-0000";SIMPLES NACIONAL
50.086.652/0001;DOM BROT LTDA Fantasia: DOM BROT;;"(41) 3472-2359
(0000) 0000-0000";SIMPLES NACIONAL
50.097.230/0001;LUIZ HENRIQUE ALVES OLENIK Fantasia: FORTREK SISTEMAS DE SEGURANCA;;"(41) 99267-8633 
(0000) 0000-0000";SIMPLES NACIONAL
50.115.967/0001;KELLY DA S F THIESEN LTDA Fantasia: KELLY THIESEN BEAUTY CENTER;;"(41) 99975-2207 
(0000) 0000-0000";SIMPLES NACIONAL
50.122.745/0001;VIDRACARIA GUARATUBA LTDA Fantasia: VIDRACARIA GUARATUBA;;"(41) 99663-0542 
(0000) 0000-0000
marco05052012";SIMPLES NACIONAL
50.205.314/0001;JK WORKSPACE LTDA Fantasia: JK WORKSPACE;AVENIDA MAFRA, 453 , BAIRRO PI�ARRAS;"(41) 99104-1082 
(0000) 0000-0000";SIMPLES NACIONAL
50.207.664/0001;EMILIO KUNTZE VIAGENS LTDA RUA DR. JOSE MUGIATTI SOBRINHO, 479 SALA 03,;;"(41) 99772-0206 
kshotel01";SIMPLES NACIONAL
50.237.192/0001;SFK DIGITAL LTDA Fantasia: SFK DIGITAL;AVENIDA MAFRA, 453 , BAIRRO PI�ARRAS;"(37) 99196-1133 
(0000) 0000-0000";PRESUMIDO OU LUCRO REAL
50.278.870/0001;MEGA PARK ADVENTURE LTDA Fantasia: MEGA PARK COM. BRINQUEDOS;AVENIDA DOS GUARAS, 735 , BAIRRO PI�ARRAS;"(51) 98224-8592 
(0000) 0000-0000";SIMPLES NACIONAL
50.311.756/0001;MISTER BURGUER LANCHES LTDA Fantasia: MISTER BURGUER;;"(41) 99930-9770 
(0000) 0000-0000
indiomarpereira9";SIMPLES NACIONAL
50.352.840/0001;SOUZA CONSTRUCOES GUARATUBA LTDA RUA RUA DO SABIA, 70 , BAIRRO CASTELO NOVO;;"(41) 99504-5516 
(0000) 0000-0000";SIMPLES NACIONAL
50.393.459/0001;MARCIA GENSIK COMERCIO PRODUTOS AGROPECIARIOS LTDA;AVENIDA PARANA, SN LOTE 00011 QUADRA0320,;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
50.394.018/0001;SOLARE SOLUCOES EM ENERGIA SOLAR LTDA.;;"(41) 98857-9999 
(0000) 0000-0000";SIMPLES NACIONAL
50.404.294/0001;T S SIEDSCHLAG LTDA Fantasia: T SATTO;;"(41) 99121-2975 
(0000) 0000-0000";SIMPLES NACIONAL
50.425.224/0001;PLANALTO CONSTRUCOES LTDA RUA ARAUCARIAS, 730 QUADRA442 LOTE 001,;;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
50.436.471/0001;SUPERMIX ALIMENTOS LTDA Fantasia: SUPERMIX ALIMENTOS;;"(47) 99668-9669 
(0000) 0000-0000
supermixalimentos2023";PRESUMIDO OU LUCRO REAL
50.439.672/0001;START EDUCACAO LTDA RUA VIEIRA DOS SANTOS, 14B2 LOTE 014B2;;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
50.457.153/0001;STABILE SHIRE SERVICOS ESPECIALIZADOS LTDA;;"(41) 99959-4480 
(0000) 0000-0000";SIMPLES NACIONAL
50.476.608/0001;CARVALHO & SANTOS LTDA AVENIDA 29 DE ABRIL, 237 SALA 01, BAIRRO;AVENIDA 29 DE ABRIL, 237 SALA 01, BAIRRO;"(44) 99905-9918 
(0000) 0000-0000";SIMPLES NACIONAL
50.484.015/0001;PONTO DE LUZ ACESSORIOS FEMININOS LTDA;AVENIDA 29 DE ABRIL, 493 LOJA 01, BAIRRO;(41) 99861-4563;SIMPLES NACIONAL
50.489.195/0001;SERVICOS PARA CARTORIO EM GUARATUBA LTDA;;"(41) 3276-0932
(0000) 0000-0000";SIMPLES NACIONAL
50.528.020/0001;ATIVA SOLUCOES LTDA Fantasia: ATIVA CONTABILIDADE;;"(41) 98403-1676 
(0000) 0000-0000";SIMPLES NACIONAL
50.565.128/0001;VHL SENDODA LTDA RUA ANTONIO ROCHA, 233 , BAIRRO CENTRO;;"(41) 3473-9069
(0000) 0000-0000";SIMPLES NACIONAL
50.569.802/0001;LEIF DIGITAL LTDA Fantasia: LEIF DIGITAL;AVENIDA MAFRA, 453 , BAIRRO PI�ARRAS;"(28) 99906-9411 
(0000) 0000-0000";SIMPLES NACIONAL
50.597.958/0001;JW REPRESENTACOES COMERCIAIS LTDA Fantasia: JW REPRESENTACOES COMERCIAIS;;"(41) 99624-4664 
(0000) 0000-0000";SIMPLES NACIONAL
50.626.836/0001;A F RAMOS LTDA Fantasia: A F RAMOS;AVENIDA DAMI�O BOTELHO DE SOUZA, 639 ,;"(41) 99917-7053 
(0000) 0000-0000";SIMPLES NACIONAL
50.671.799/0001;ODARA - CAFES ESPECIAIS LTDA Fantasia: ODARA CAFES ESPECIAIS;;"(41) 99876-8112 
(0000) 0000-0000";SIMPLES NACIONAL
50.681.081/0001;BRASIL EMPORIO LTDA Fantasia: BRASIL EMPORIO;;"(41) 99747-5831 
(0000) 0000-0000
vendasml19";SIMPLES NACIONAL
50.724.106/0001;JVN DIGITAL LTDA Fantasia: JVN DIGITAL;AVENIDA MAFRA, 453 QUADRA0211 LOTE 00016,;"(16) 98151-6775 
(0000) 0000-0000";SIMPLES NACIONAL
50.797.283/0001;REFRIAR GUARATUBA LTDA Fantasia: REFRIAR GUARATUBA;AVENIDA DAMI�O BOTELHO DE SOUZA, 1380 ,;"(41) 99901-1883 
(0000) 0000-0000";SIMPLES NACIONAL
50.840.381/0001;STORE IMPORTS LTDA Fantasia: STORE IMPORTS;;(41) 99854-2201;SIMPLES NACIONAL
50.963.498/0001;SOL CLEAN ENERGIAS RENOVAVEIS LTDA Fantasia: CSE - CENTRAL EM SOLUCOES DE;;"(41) 3514-7363
(41) 99162-4222";SIMPLES NACIONAL
50.973.066/0001;F.K SERVICOS LTDA AVENIDA MINAS GERAIS, 2412 SALA 02, BAIRRO;AVENIDA MINAS GERAIS, 2412 SALA 02, BAIRRO;"(42) 98404-6313 
(0000) 0000-0000";SIMPLES NACIONAL
50.991.622/0001;RESTAURANTE RAINHA LTDA Fantasia: RESTAURANTE RAINHA;;"(47) 99623-6625 
(0000) 0000-0000
restauranterainha376";SIMPLES NACIONAL
51.011.595/0001;PANIFICADORA BOA VISTA LTDA Fantasia: SIRLEY & MORITZ;;(41) 98502-1728;SIMPLES NACIONAL
51.014.742/0001;DIGITAL WAVE LTDA Fantasia: DIGITAL WAVE;AVENIDA MAFRA, 453 QUADRA0211 LOTE;(48) 98847-0922;SIMPLES NACIONAL
51.035.478/0001;LIDIANE MARIA RITTER 10A RUA PORTO RICO, 376 , BAIRRO NEREIDAS;;(47) 99963-8730;SIMPLES NACIONAL
51.038.407/0001;BJS INVESTIMENTOS LTDA RUA TIBAGI, 40 , BAIRRO COHAPAR;;"(41) 99943-1501 
(0000) 0000-0000";SIMPLES NACIONAL
51.061.268/0001;W.J ADMINISTRADORA DE BENS LTDA RUA JOSE NICOLAU ABAGGE, 983 QUADRA374 LOTE;;"(41) 3276-0932
(0000) 0000-0000";PRESUMIDO OU LUCRO REAL
51.061.749/0001;MA&ISA ADMINISTRADORA DE BENS LTDA Fantasia: MA&ISA ADMINISTRADORA DE BENS;;"(42) 3025-6309
(0000) 0000-0000";PRESUMIDO OU LUCRO REAL
51.135.958/0001;TIAGO M. DOS SANTOS DE SOUZA LTDA Fantasia: MERCADO VITORIA E DISTRIBUIDORA;;"(41) 99781-1551 
(0000) 0000-0000
tiagomessias2223";SIMPLES NACIONAL
51.143.938/0001;WEMERSON GERALDO DE QUEIROZ FILHO SERVICOS MEDICOS LTDA;;"(45) 99990-4618 
(0000) 0000-0000
wemersonfilho84";SIMPLES NACIONAL
51.145.229/0001;MORGANA PEREIRA SERVICOS MEDICOS LTDA RUA ARAUCARIAS, 730 QUADRA0442 LOTE 00001,;;(45) 99811-6024;SIMPLES NACIONAL
51.147.183/0001;VISION PLUS GUARATUBA COMUNICACAO VISUAL LTDA;;"(41) 99956-0039 
(0000) 0000-0000";SIMPLES NACIONAL
51.244.958/0001;AUTO SOCORRO E MECANICA MATHEUS LTDA Fantasia: AUTO SOCORRO E MECANICA MATHEUS;;"(47) 3445-3152
(0000) 0000-0000";SIMPLES NACIONAL
51.255.168/0001;PADARIA E CAFETERIA LABELLA LTDA Fantasia: PADARIA E CAFETERIA LABELLA;AVENIDA CURITIBA, 1122 , BAIRRO CENTRO;"(47) 99900-1562 
(0000) 0000-0000";SIMPLES NACIONAL
51.285.782/0001;KLETEMBERG & FAUCZ CONSTRUCOES LTDA RUA RUA SAO JOSE DOS PINHAIS, 2271 , BAIRRO;;"(41) 99229-2313 
(0000) 0000-0000";PRESUMIDO OU LUCRO REAL
51.290.437/0001;X CURVE DIGITAL LTDA Fantasia: X CURVE DIGITAL;AVENIDA MAFRA, 453 QUADRA0211 LOTE 00016,;"(11) 98773-6194 
(0000) 0000-0000";SIMPLES NACIONAL
51.309.642/0001;DLS DIGITAL LTDA Fantasia: DLS DIGITAL;AVENIDA MAFRA, 453 QUADRA0211 LOTE 00016,;"(81) 98770-9924 
(0000) 0000-0000";SIMPLES NACIONAL
51.313.232/0001;NORTE SULSERVICOS NAUTICOS E PECAS LTDA;AVENIDA DOS GUARAS, SN LOTE 000005;"(41) 99956-0039 
(0000) 0000-0000";SIMPLES NACIONAL
51.319.049/0001;KRUGGER DIGITAL LTDA Fantasia: KRUGGER DIGITAL;AVENIDA MAFRA, 453 QUADRA0211 LOTE 00016,;"(61) 99172-7204 
(0000) 0000-0000";SIMPLES NACIONAL
51.380.139/0001;AMPLA E ACELERADORA DE CONHECIMENTO LTDA;;"(41) 99956-0039 
(0000) 0000-0000";SIMPLES NACIONAL
51.391.204/0001;ULISSES DE ALMEIDA REPRESENTACAO LTDA RUA GENEROSO MARQUES, 680 CASA 02, BAIRRO;;"(41) 99693-4711 
(0000) 0000-0000
ulissesalmeida97";SIMPLES NACIONAL
51.397.907/0001;GEOMETRA EMPREITEIRA DE OBRAS LTDA RUA VIEIRA DOS SANTOS, 14B2 LOTE 014B2;;"(41) 99956-0039 
(0000) 0000-0000";SIMPLES NACIONAL
51.400.766/0001;AX TECNOLOGIA LTDA Fantasia: ALT TECNOLOGIA;;"(41) 99661-0833 
(0000) 0000-0000";SIMPLES NACIONAL
51.434.078/0003;ALIMENTACAO BOM APETITT LTDA RUA CURITIBA, 822 , BAIRRO PICARRAS;;(41) 3601-9811;PRESUMIDO OU LUCRO REAL
51.453.138/0001;DOIS IRMAOS CENTRO AUTOMOTIVO LTDA Fantasia: GLOBAL AUTOCENTER;;"(41) 99562-2477 
doisirmaoscentroautomotivo3";SIMPLES NACIONAL
51.457.544/0001;G S DE PAULA LANCHONETE LTDA AVENIDA VISCONDE DO RIO BRANCO, 276;AVENIDA VISCONDE DO RIO BRANCO, 276;"(41) 99888-4665 
(0000) 0000-0000";SIMPLES NACIONAL
51.467.463/0001;SERVICO MEDICO MAGGI LTDA Fantasia: MEDIQ;;"(45) 99928-5151 
(0000) 0000-0000";SIMPLES NACIONAL
51.530.271/0001;ELIANE DE FREITAS BORBA LTDA Fantasia: STUDIO LIKA BORBA;;"(41) 98721-8984 
(0000) 0000-0000";SIMPLES NACIONAL
51.534.975/0001;GRANFINA ESQUADRIAS LTDA AVENIDA PARANA, 2035 , BAIRRO BREJATUBA;AVENIDA PARANA, 2035 , BAIRRO BREJATUBA;"(41) 3472-6464
contato01";SIMPLES NACIONAL
51.542.988/0001;OCEAN SOLUTIONS MARINE LTDA Fantasia: OCEAN SOLUTIONS;;"(41) 99773-1653 
(0000) 0000-0000";SIMPLES NACIONAL
51.555.359/0001;H77 CONSTRUTORA LTDA Fantasia: H77 CONSTRUTORA;;"(41) 99846-6501 
(0000) 0000-0000
h77";PRESUMIDO OU LUCRO REAL
51.567.909/0001;MERCADAO DA PISCINA LTDA Fantasia: MERCADAO DA PISCINA;AVENIDA ROCHA POMBO, 67 , BAIRRO MIRIM;"(41) 98797-3055 
(0000) 0000-0000";SIMPLES NACIONAL
51.594.213/0001;APPUS DIGITAL LTDA Fantasia: APPUS DIGITAL;AVENIDA MAFRA, 453 QUADRA0211 LOTE 00016,;"(51) 99186-5877 
(0000) 0000-0000
ericlesheidt5";SIMPLES NACIONAL
51.596.202/0001;SOLID TECNOLOGIA E SEGURANCA LTDA Fantasia: SOLID TECNOLOGIA E SEGURANCA;AVENIDA IVAI, 889 SALA A, BAIRRO PI�ARRAS;(41) 99624-5225;SIMPLES NACIONAL
51.624.020/0001;TEODORO & OLIVEIRA RESTAURANTE LTDA Fantasia: TEODORO'S EMPORIO E ESPETINHOS;AVENIDA VISCONDE DO RIO BRANCO, 4222;(47) 99139-0991;SIMPLES NACIONAL
51.632.417/0001;MARINA DALABONA LTDA Fantasia: DALABONA IMOVEIS;;"(41) 3472-3980
(0000) 0000-0000";SIMPLES NACIONAL
51.633.820/0001;NATIVA EMPREENDIMENTOS LTDA Fantasia: NATIVA EMPREENDIMENTOS;AVENIDA CURITIBA, 930 LOTE 0008A QUADRA0137,;"(41) 3472-2929
(0000) 0000-0000";PRESUMIDO OU LUCRO REAL
51.642.186/0001;ULTRAMARATONA DOS PERDIDOS LTDA RODOVIA BR 376, HO179 , BAIRRO PEDRA BRANCA;;"(41) 3382-7989
(0000) 0000-0000";SIMPLES NACIONAL
51.651.069/0001;KIERAM PRODUCOES E EVENTOS LTDA Fantasia: KIERAM ECTTORI;;"(11) 3450-0882
(0000) 0000-0000";SIMPLES NACIONAL
51.658.498/0001;SEGVIDA SEGURANCA DO TRABALHO LTDA Fantasia: SEGVIDA SEGURANCA DO TRABALHO;;"(47) 99655-1685 
(0000) 0000-0000";SIMPLES NACIONAL
51.664.855/0001;ROTH EMPREENDIMENTOS LTDA Fantasia: VENCA AGORA CONCURSOS;AVENIDA DOS GUAR�S, S/N , BAIRRO PI�ARRAS;"(21) 98200-0262 
(0000) 0000-0000";SIMPLES NACIONAL
51.666.529/0001;DA EMPREENDIMENTO LTDA Fantasia: DA EMPREENDIMENTO;"AVENIDA MAFRA, 453 LOTE 00016;QUADRA 0211,";"(62) 99617-7452 
denilton90";SIMPLES NACIONAL
51.687.355/0001;LEVE GUARATUBA LTDA Fantasia: LEVE GUARATUBA;AVENIDA 29 DE ABRIL, 939 LOJA 06;"(41) 98843-5493 
(0000) 0000-0000";SIMPLES NACIONAL
51.713.756/0001;ARTCLIMA VENDA E INSTALACAO DE AR CONDICIONADO DOMESTICO E INDUSTRIAL;AVENIDA PONTA GROSSA, 266 , BAIRRO CENTRO;"(41) 3411-8954
(0000) 0000-0000";SIMPLES NACIONAL
51.757.709/0001;GUARATUBA COMERCIO DE MEDICAMENTOS LTDA;;"(41) 3453-1585
(0000) 0000-0000";SIMPLES NACIONAL
51.780.183/0001;AGENCIA KERING DIGITAL LTDA Fantasia: AGENCIA KERING DIGITAL;AVENIDA MAFRA, 453 LOTE 00016 QUADRA0211,;"(62) 99842-5910 
(0000) 0000-0000";SIMPLES NACIONAL
51.898.050/0001;FJM MARINA NAUTICA LTDA Fantasia: FJM MARINA NAUTICA;AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,;"(41) 99958-0071 
(0000) 0000-0000";SIMPLES NACIONAL
51.934.755/0001;SMART MARKET COMERCIO DE SUPLEMENTOS LTDA;AVENIDA PONTA GROSSA, 156 SALA 03, BAIRRO;"(41) 3180-0678
(0000) 0000-0000";SIMPLES NACIONAL
51.940.126/0001;PIENZA COMERCIO E REPRESENTACOES LTDA RUA DR JOAO CANDIDO, 230 LOJA 04, BAIRRO;;"(41) 99809-1415 
(0000) 0000-0000";SIMPLES NACIONAL
51.969.009/0001;JRH EMPREENDIMENTOS DIGITAIS LTDA Fantasia: JRH EMPREENDIMENTOS DIGITAIS;AVENIDA MAFRA, 453 QUADRA0211 LOTE 00016,;"(55) 99732-3775 
(0000) 0000-0000
joaorh39";SIMPLES NACIONAL
51.997.400/0001;LITORAL PORTAS LTDA AVENIDA DAMI�O BOTELHO DE SOUZA, 307 SALA;AVENIDA DAMI�O BOTELHO DE SOUZA, 307 SALA;"(41) 99610-1414 
(0000) 0000-0000";SIMPLES NACIONAL
52.074.391/0001;ARNF REPRESENTACAO COMERCIAL LTDA Fantasia: ARNF REPRESENTACAO COMERCIAL;;"(47) 98822-5447 
(0000) 0000-0000";SIMPLES NACIONAL
52.086.860/0001;JQ DISTRIBUIDORA DE BEBIDAS LTDA Fantasia: MAMUTS BEACH;;"(41) 3382-7989
(0000) 0000-0000";SIMPLES NACIONAL
52.100.255/0001;GESSO BLESSED LTDA Fantasia: GESSO BLESSED;;"(41) 99174-0554 
(0000) 0000-0000
pablohenrique_94";SIMPLES NACIONAL
52.151.761/0001;JENNIFER T. BALTAZAR DA SILVA LTDA Fantasia: MERCADO VITORIA;;"(41) 98503-8656 
(0000) 0000-0000
jhenifertainara.04";SIMPLES NACIONAL
52.193.643/0001;MB ESSENTIAL LIFE LTDA RUA DR. CAETANO MUNHOZ DA ROCHA, 590 ,;;"(41) 99870-5555 
(0000) 0000-0000";SIMPLES NACIONAL
52.205.938/0001;52.205.938 MARIA APARECIDA FURTADO RIBAS;;"(41) 98893-1352 
gizelypagno123";SIMPLES NACIONAL
52.247.259/0001;CASTELINHO 70 BAR E PETISCARIA LTDA Fantasia: CASTELINHO 70;;"(43) 99908-7879 
(0000) 0000-0000";SIMPLES NACIONAL
52.272.503/0001;DOSSANTOS OBRAS DE ALVENARIA LTDA Fantasia: DOSSANTOS OBRAS DE ALVENARIA;AVENIDA VISCONDE DO RIO BRANCO, 599 , BAIRRO;"(41) 3224-9222
(0000) 0000-0000";SIMPLES NACIONAL
52.280.760/0001;ATELIE DE UNHAAS FEIITAS LTDA Fantasia: ATELIE DE UNHAAS FEIITAS;;"(41) 99979-2011 
(0000) 0000-0000";SIMPLES NACIONAL
